stop,day,time_slot,total,corridor,percentage
Ramapuram,Tue,11:00-11:30,26,Thiruvanmiyur,1.0
Ramapuram,Wed,18:00-18:30,80,Thiruvanmiyur,1.0
Ramapuram,Mon,17:30-18:00,76,Thiruvanmiyur,1.0
Porur,Thu,12:30-13:00,108,Vadapalani,0.24386230207099596
Porur,Thu,12:30-13:00,108,Thiruvanmiyur,0.44720486749124333
Porur,Thu,12:30-13:00,108,Broadway,0.3089328304377608
Iyyappanthangal,Thu,10:00-10:30,29,Vadapalani,0.3412281149816527
Iyyappanthangal,Thu,10:00-10:30,29,Thiruvanmiyur,0.38990960944171354
Iyyappanthangal,Thu,10:00-10:30,29,Broadway,0.2688622755766339
Porur,Fri,06:30-07:00,79,Vadapalani,0.5832229484344681
Porur,Fri,06:30-07:00,79,Thiruvanmiyur,0.2652021031632692
Porur,Fri,06:30-07:00,79,Broadway,0.15157494840226268
Valasaravakkam,Thu,07:30-08:00,46,Vadapalani,0.7289058681066883
Valasaravakkam,Thu,07:30-08:00,46,Broadway,0.2710941318933116
Iyyappanthangal,Sat,10:30-11:00,72,Vadapalani,0.26370583082838395
Iyyappanthangal,Sat,10:30-11:00,72,Thiruvanmiyur,0.4217185441435758
Iyyappanthangal,Sat,10:30-11:00,72,Broadway,0.31457562502804015
Porur,Sat,07:30-08:00,36,Vadapalani,0.578280473911556
Porur,Sat,07:30-08:00,36,Thiruvanmiyur,0.3167698347816307
Porur,Sat,07:30-08:00,36,Broadway,0.10494969130681331
Valasaravakkam,Sun,19:00-19:30,110,Vadapalani,0.3593579038732492
Valasaravakkam,Sun,19:00-19:30,110,Broadway,0.6406420961267509
Valasaravakkam,Sat,10:00-10:30,59,Vadapalani,0.38054992913842695
Valasaravakkam,Sat,10:00-10:30,59,Broadway,0.6194500708615731
Valasaravakkam,Mon,12:00-12:30,67,Vadapalani,0.3857566234849724
Valasaravakkam,Mon,12:00-12:30,67,Broadway,0.6142433765150275
Iyyappanthangal,Tue,14:00-14:30,90,Vadapalani,0.3366459024913209
Iyyappanthangal,Tue,14:00-14:30,90,Thiruvanmiyur,0.3594503538753065
Iyyappanthangal,Tue,14:00-14:30,90,Broadway,0.3039037436333725
Iyyappanthangal,Wed,18:30-19:00,51,Vadapalani,0.27425214252162083
Iyyappanthangal,Wed,18:30-19:00,51,Thiruvanmiyur,0.454655014801224
Iyyappanthangal,Wed,18:30-19:00,51,Broadway,0.2710928426771551
Porur,Fri,10:30-11:00,43,Vadapalani,0.370487675919984
Porur,Fri,10:30-11:00,43,Thiruvanmiyur,0.37874192526540595
Porur,Fri,10:30-11:00,43,Broadway,0.25077039881460994
Valasaravakkam,Mon,12:30-13:00,63,Vadapalani,0.4740936970137241
Valasaravakkam,Mon,12:30-13:00,63,Broadway,0.5259063029862759
Ramapuram,Sat,09:30-10:00,99,Thiruvanmiyur,1.0
Porur,Sun,12:30-13:00,32,Vadapalani,0.22753844249142818
Porur,Sun,12:30-13:00,32,Thiruvanmiyur,0.5006896932558532
Porur,Sun,12:30-13:00,32,Broadway,0.2717718642527186
Valasaravakkam,Sat,21:00-21:30,107,Vadapalani,0.4131766967955703
Valasaravakkam,Sat,21:00-21:30,107,Broadway,0.5868233032044298
Porur,Wed,14:00-14:30,63,Vadapalani,0.3233839587512735
Porur,Wed,14:00-14:30,63,Thiruvanmiyur,0.33818458331912693
Porur,Wed,14:00-14:30,63,Broadway,0.3384314579295995
Valasaravakkam,Thu,14:00-14:30,48,Vadapalani,0.35760817473698886
Valasaravakkam,Thu,14:00-14:30,48,Broadway,0.6423918252630111
Porur,Mon,13:30-14:00,42,Vadapalani,0.2388902517932932
Porur,Mon,13:30-14:00,42,Thiruvanmiyur,0.36808483801047615
Porur,Mon,13:30-14:00,42,Broadway,0.39302491019623076
Ramapuram,Mon,20:30-21:00,48,Thiruvanmiyur,1.0
Porur,Mon,20:00-20:30,61,Vadapalani,0.23455989653388998
Porur,Mon,20:00-20:30,61,Thiruvanmiyur,0.5002137158294003
Porur,Mon,20:00-20:30,61,Broadway,0.2652263876367097
Iyyappanthangal,Wed,11:00-11:30,28,Vadapalani,0.33145000127186436
Iyyappanthangal,Wed,11:00-11:30,28,Thiruvanmiyur,0.3311217509165398
Iyyappanthangal,Wed,11:00-11:30,28,Broadway,0.3374282478115959
Iyyappanthangal,Sat,16:30-17:00,37,Vadapalani,0.16001775684592012
Iyyappanthangal,Sat,16:30-17:00,37,Thiruvanmiyur,0.588642947088469
Iyyappanthangal,Sat,16:30-17:00,37,Broadway,0.25133929606561095
Ramapuram,Fri,10:00-10:30,27,Thiruvanmiyur,1.0
Iyyappanthangal,Mon,13:30-14:00,25,Vadapalani,0.28182532633964325
Iyyappanthangal,Mon,13:30-14:00,25,Thiruvanmiyur,0.37052539276093077
Iyyappanthangal,Mon,13:30-14:00,25,Broadway,0.347649280899426
Valasaravakkam,Sat,19:00-19:30,94,Vadapalani,0.378322195924005
Valasaravakkam,Sat,19:00-19:30,94,Broadway,0.621677804075995
Porur,Wed,17:30-18:00,80,Vadapalani,0.22360057571963815
Porur,Wed,17:30-18:00,80,Thiruvanmiyur,0.5072816963775421
Porur,Wed,17:30-18:00,80,Broadway,0.26911772790281985
Ramapuram,Mon,07:00-07:30,80,Thiruvanmiyur,1.0
Ramapuram,Wed,18:30-19:00,64,Thiruvanmiyur,1.0
Ramapuram,Sat,12:30-13:00,109,Thiruvanmiyur,1.0
Valasaravakkam,Tue,09:30-10:00,28,Vadapalani,0.7286029008058733
Valasaravakkam,Tue,09:30-10:00,28,Broadway,0.2713970991941267
Valasaravakkam,Thu,19:00-19:30,26,Vadapalani,0.3337943721967426
Valasaravakkam,Thu,19:00-19:30,26,Broadway,0.6662056278032574
Ramapuram,Fri,13:00-13:30,76,Thiruvanmiyur,1.0
Valasaravakkam,Sun,08:00-08:30,112,Vadapalani,0.6812742584633547
Valasaravakkam,Sun,08:00-08:30,112,Broadway,0.3187257415366454
Iyyappanthangal,Sun,16:00-16:30,26,Vadapalani,0.2920719244109074
Iyyappanthangal,Sun,16:00-16:30,26,Thiruvanmiyur,0.44861970845785437
Iyyappanthangal,Sun,16:00-16:30,26,Broadway,0.25930836713123834
Ramapuram,Tue,10:00-10:30,106,Thiruvanmiyur,1.0
Iyyappanthangal,Fri,09:30-10:00,29,Vadapalani,0.5772190028745681
Iyyappanthangal,Fri,09:30-10:00,29,Thiruvanmiyur,0.2709668115817573
Iyyappanthangal,Fri,09:30-10:00,29,Broadway,0.15181418554367462
Valasaravakkam,Sun,10:30-11:00,120,Vadapalani,0.45240205878405193
Valasaravakkam,Sun,10:30-11:00,120,Broadway,0.547597941215948
Porur,Thu,19:30-20:00,87,Vadapalani,0.33884816757657815
Porur,Thu,19:30-20:00,87,Thiruvanmiyur,0.49828826866675613
Porur,Thu,19:30-20:00,87,Broadway,0.16286356375666586
Porur,Mon,14:30-15:00,88,Vadapalani,0.2766329384245896
Porur,Mon,14:30-15:00,88,Thiruvanmiyur,0.45848953367107287
Porur,Mon,14:30-15:00,88,Broadway,0.26487752790433766
Valasaravakkam,Wed,06:00-06:30,42,Vadapalani,0.6989322200520269
Valasaravakkam,Wed,06:00-06:30,42,Broadway,0.30106777994797307
Ramapuram,Tue,09:30-10:00,56,Thiruvanmiyur,1.0
Ramapuram,Fri,12:30-13:00,86,Thiruvanmiyur,1.0
Valasaravakkam,Sat,10:00-10:30,117,Vadapalani,0.33353497431806817
Valasaravakkam,Sat,10:00-10:30,117,Broadway,0.666465025681932
Porur,Mon,17:00-17:30,32,Vadapalani,0.207010190849664
Porur,Mon,17:00-17:30,32,Thiruvanmiyur,0.5096237931062898
Porur,Mon,17:00-17:30,32,Broadway,0.2833660160440462
